"0","76","1628","2009-12-09 23:46:25"
"1","81","1699","1983-03-29 06:46:18"
"2","28","953","2020-05-07 02:19:09"
"3","63","943","1975-06-11 17:09:50"
"4","82","515","1982-02-28 00:22:30"
"5","45","629","1991-02-25 05:28:15"
"6","17","215","2004-09-10 10:05:10"
"7","59","284","2004-11-12 08:13:07"
"8","6","1167","1987-01-11 06:52:27"
"9","19","115","2019-07-19 02:39:34"
"10","98","744","2002-12-16 01:13:44"
"11","30","260","1980-03-24 05:06:11"
"12","96","540","2014-05-20 05:34:59"
"13","14","931","2016-02-12 13:14:26"
"14","58","1742","1996-04-17 17:38:58"
"15","46","174","2002-05-15 18:05:01"
"16","54","221","2022-01-15 17:49:45"
"17","70","1494","2020-08-30 05:01:33"
"18","1","143","2020-05-15 22:32:39"
"19","17","1607","1974-09-26 23:35:25"
"20","99","530","1978-04-08 08:12:54"
"21","42","1318","2004-10-18 14:00:56"
"22","51","904","2018-07-22 01:18:40"
"23","55","65","2008-04-25 19:41:03"
"24","85","708","2017-12-19 01:04:49"
"25","28","368","2011-04-06 05:25:35"
"26","63","48","1986-12-11 22:17:00"
"27","46","465","1977-06-07 13:11:59"
"28","56","1141","1995-06-26 08:32:48"
"29","99","1536","1974-02-04 07:25:21"
"30","29","510","1972-06-06 20:16:03"
"31","89","1178","1985-01-03 10:48:41"
"32","61","1504","1982-09-06 22:42:44"
"33","12","275","2017-07-14 03:32:22"
"34","80","1332","1980-10-23 01:17:51"
"35","28","1306","2010-11-28 05:49:32"
"36","62","1991","1974-11-19 15:39:25"
"37","91","1642","2002-09-09 01:59:26"
"38","39","122","1977-11-02 03:58:27"
"39","13","33","2003-08-18 09:52:39"
"40","66","1954","1979-08-20 09:13:53"
"41","85","1526","1989-09-11 13:44:51"
"42","13","1223","1970-08-18 14:42:10"
"43","9","862","1987-02-25 18:38:00"
"44","37","688","2007-07-25 11:36:01"
"45","79","708","1974-03-11 10:51:13"
"46","90","1529","2000-07-11 03:58:38"
"47","40","458","1986-03-03 02:44:36"
"48","8","960","2005-11-07 19:05:38"
"49","52","1052","1996-09-21 18:24:41"
"50","21","599","2000-02-19 16:31:19"
"51","93","1478","2011-08-26 08:19:46"
"52","31","1796","1976-10-12 13:09:44"
"53","52","1183","1999-04-09 23:55:43"
"54","88","1475","2003-03-15 19:46:47"
"55","10","953","1977-09-25 13:24:22"
"56","64","1945","2005-08-04 15:12:40"
"57","69","1559","1987-05-31 21:20:06"
"58","88","870","2002-02-23 18:39:30"
"59","5","695","1997-02-09 00:42:37"
